time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq_d1,ddq_d2,ddq_d3,ddq_d4,ddq_d5,ddq_d6,ddq_d7,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15,O_T_EE_16
0,0.881102,0.0146058,-0.0964404,-1.87265,0.00108398,1.88695,0.783871,-0.000129913,-0.000611024,-0.00129365,0.000157244,-8.50384e-05,-4.40282e-05,-0.00388923,0,0,0,0,0,0,0,1,0.000463516,9.65264e-05,0,0.000463474,-1,0.000434962,0,9.6728e-05,-0.000434917,-1,0,0.400056,0.39992,0.499673,1
0.001,0.881102,0.0146086,-0.0964404,-1.87265,0.00108489,1.88695,0.783874,-0.000921827,0.000521145,-0.00101025,-0.00082319,0.000248484,-0.000770452,-0.00184684,0,0,0,0,0,0,0,1,0.000460363,9.05436e-05,0,0.000460323,-1,0.00044008,0,9.07462e-05,-0.000440038,-1,0,0.400056,0.39992,0.49967,1
0.002,0.881108,0.0146058,-0.0964376,-1.87266,0.00108489,1.88695,0.783883,0.00114869,-0.000580235,0.000143657,-0.00138401,0.000165656,-0.00016241,0.00175272,0,0,0,0,0,0,0,1,0.000460111,9.27886e-05,0,0.00046007,-1,0.000437408,0,9.29898e-05,-0.000437365,-1,0,0.400052,0.399923,0.499671,1
0.003,0.881105,0.0146086,-0.0964376,-1.87266,0.00108489,1.88695,0.783884,-0.000162229,0.000541464,1.26246e-05,-0.000922674,0.000110437,0.000214485,0.00154147,0,0,0,0,0,0,0,1,0.000456415,9.07117e-05,0,0.000456375,-1,0.000439859,0,9.09125e-05,-0.000439818,-1,0,0.400053,0.399922,0.499669,1
0.004,0.881108,0.0146086,-0.0964404,-1.87265,0.00108398,1.88695,0.783883,0.00165509,0.000361176,-0.000981963,0.000220102,-0.000231551,-0.000208338,0.00180754,0,0,0,0,0,0,0,1,0.00045801,8.98174e-05,0,0.000457971,-1,0.000442035,0,9.00198e-05,-0.000441994,-1,0,0.400053,0.399922,0.49967,1
0.005,0.881104,0.0146111,-0.0964431,-1.87266,0.00108809,1.88695,0.783882,-0.000659848,0.00107615,-0.00162943,-0.000688483,0.000150808,-0.000521068,5.21409e-05,0,0,0,0,0,0,0,1,0.000451421,8.43153e-05,0,0.000451384,-1,0.000442403,0,8.4515e-05,-0.000442365,-1,0,0.400055,0.39992,0.499667,1
0.006,0.881108,0.0146079,-0.0964376,-1.87265,0.00108697,1.88695,0.783888,0.000488122,-0.00104569,0.000734674,0.000376229,0.000439623,1.87267e-05,0.00193363,0,0,0,0,0,0,0,1,0.000454198,9.15614e-05,0,0.000454158,-1,0.000436128,0,9.17594e-05,-0.000436086,-1,0,0.400052,0.399924,0.499671,1
0.007,0.881108,0.0146086,-0.0964404,-1.87265,0.00108626,1.88695,0.78387,0.000325414,-0.000697043,-0.000464545,0.000250819,0.000293082,7.31893e-06,-0.0047127,0,0,0,0,0,0,0,1,0.000469565,9.22698e-05,0,0.000469525,-1,0.000436522,0,9.24748e-05,-0.000436479,-1,0,0.400053,0.399923,0.499671,1
0.008,0.881105,0.0146067,-0.0964404,-1.87265,0.00108603,1.88695,0.783877,-0.000711077,-0.000464632,-0.000329428,0.00109523,0.000195388,-0.000371987,-0.000903846,0,0,0,0,0,0,0,1,0.000460119,9.50358e-05,0,0.000460077,-1,0.000433825,0,9.52354e-05,-0.000433781,-1,0,0.400055,0.399922,0.499673,1
0.009,0.881103,0.0146082,-0.0964431,-1.87265,0.00108402,1.88695,0.783878,-0.00130927,-0.000309707,-0.00116244,0.000730155,-0.000514001,0.000122095,-0.000229571,0,0,0,0,0,0,0,1,0.000454328,9.63288e-05,0,0.000454286,-1,0.000435497,0,9.65266e-05,-0.000435454,-1,0,0.400057,0.39992,0.499673,1
