time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq_d1,ddq_d2,ddq_d3,ddq_d4,ddq_d5,ddq_d6,ddq_d7,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15,O_T_EE_16
0,-0.5254,0.0787605,-0.522823,-1.805,0.0406592,1.87299,-1.05876,-0.000239606,0.000622353,-0.00058558,-0.00233889,2.2114e-05,0.000321599,-0.0045837,0,0,0,0,0,0,0,1,-0.000231795,-0.000440921,0,-0.000231708,-1,0.000198285,0,-0.000440967,-0.000198183,-1,0,0.300012,-0.499971,0.499787,1
0.001,-0.5254,0.0787605,-0.522825,-1.805,0.0406583,1.87299,-1.05875,-0.000159737,0.000414902,-0.000390386,0.00020397,-0.000290433,0.000553484,-0.00232778,0,0,0,0,0,0,0,1,-0.000237013,-0.00043971,0,-0.000236924,-1,0.000202477,0,-0.000439758,-0.000202373,-1,0,0.300011,-0.499972,0.499788,1
0.002,-0.5254,0.0787605,-0.522822,-1.805,0.0406602,1.87299,-1.05875,-0.000106492,0.000276601,0.00057496,0.000135975,0.000450638,2.9905e-05,5.38053e-05,0,0,0,0,0,0,0,1,-0.000239383,-0.000437734,0,-0.000239295,-1,0.000201664,0,-0.000437782,-0.000201559,-1,0,0.300013,-0.499971,0.499789,1
0.003,-0.525397,0.0787658,-0.522821,-1.80499,0.0406592,1.87299,-1.05876,0.000857025,0.00194764,0.000383307,0.00101867,-3.86589e-05,-0.000353056,-0.0024559,0,0,0,0,0,0,0,1,-0.000228903,-0.00044206,0,-0.000228814,-1,0.0002013,0,-0.000442106,-0.000201199,-1,0,0.300015,-0.499971,0.499787,1
0.004,-0.5254,0.0787552,-0.522821,-1.80499,0.0406592,1.87299,-1.05876,-0.00035667,-0.00222805,0.000255538,0.00151433,-2.57726e-05,0.000137622,-0.00441315,0,0,0,0,0,0,0,1,-0.000223603,-0.000431021,0,-0.000223513,-1,0.000209871,0,-0.000431068,-0.000209775,-1,0,0.300013,-0.499971,0.499794,1
0.005,-0.525403,0.0787605,-0.522821,-1.805,0.0406592,1.87299,-1.05875,-0.001073,0.000277871,0.000170359,-0.000753689,-1.71817e-05,9.1748e-05,0.00219,0,0,0,0,0,0,0,1,-0.000242113,-0.000439285,0,-0.000242024,-1,0.000200836,0,-0.000439334,-0.00020073,-1,0,0.300012,-0.499972,0.499788,1
0.006,-0.525397,0.0787577,-0.522823,-1.805,0.0406592,1.87299,-1.05875,0.00104791,-0.000742772,-0.000721646,-0.00133768,-1.14545e-05,-0.00068482,-0.000904636,0,0,0,0,0,0,0,1,-0.000232531,-0.000438601,0,-0.000232443,-1,0.000199532,0,-0.000438647,-0.00019943,-1,0,0.300012,-0.49997,0.499789,1
0.007,-0.5254,0.0787605,-0.522821,-1.805,0.0406583,1.87299,-1.05876,-0.000229416,0.000432838,0.000354121,-0.00181981,-0.000312812,-8.3554e-05,-0.00291063,0,0,0,0,0,0,0,1,-0.000225914,-0.000442277,0,-0.000225826,-1,0.000197375,0,-0.000442321,-0.000197276,-1,0,0.300013,-0.49997,0.499786,1
0.008,-0.5254,0.0787552,-0.522818,-1.805,0.0406602,1.87299,-1.05876,-0.000152944,-0.00147468,0.0011641,-0.000285185,0.000435719,0.00031729,-0.000500634,0,0,0,0,0,0,0,1,-0.000228157,-0.000435033,0,-0.00022807,-1,0.000200603,0,-0.000435078,-0.000200504,-1,0,0.300013,-0.499969,0.499789,1
0.009,-0.5254,0.0787577,-0.522821,-1.805,0.0406592,1.87299,-1.05876,-0.000101963,-0.000147901,-0.000151953,-0.00556128,-4.86052e-05,0.000211527,0.000779991,0,0,0,0,0,0,0,1,-0.000230753,-0.000434604,0,-0.000230663,-1,0.000206235,0,-0.000434652,-0.000206134,-1,0,0.300013,-0.499971,0.49979,1
