time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq_d1,ddq_d2,ddq_d3,ddq_d4,ddq_d5,ddq_d6,ddq_d7,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15,O_T_EE_16
0,0.879771,0.0145721,-0.0951227,-1.87252,0.00111485,1.88701,0.783966,-0.000828511,0.00131121,-0.000176897,4.58703e-05,-0.000111566,-0.00322158,0.00415188,0,0,0,0,0,0,0,1,0.000346165,0.000220157,0,0.000346112,-1,0.000238635,0,0.000220239,-0.000238559,-1,0,0.400077,0.399929,0.499761,1
0.001,0.879774,0.0145749,-0.0951226,-1.87252,0.00111587,1.88701,0.783962,0.000375679,0.00180216,-0.000118847,3.06115e-05,0.000264707,-0.00316731,0.00124204,0,0,0,0,0,0,0,1,0.00035278,0.000216623,0,0.000352728,-1,0.000241167,0,0.000216708,-0.000241091,-1,0,0.400076,0.39993,0.499759,1
0.002,0.879767,0.0145696,-0.0951201,-1.87252,0.00111587,1.88701,0.783965,-0.00151279,-0.0005618,0.0007553,2.04311e-05,0.000176471,-0.0016301,0.001947,0,0,0,0,0,0,0,1,0.000344386,0.000220107,0,0.000344334,-1,0.00023693,0,0.000220189,-0.000236854,-1,0,0.400077,0.399928,0.499762,1
0.003,0.879776,0.0145669,-0.0951201,-1.87252,0.00111485,1.88701,0.783955,0.00158993,-0.00130255,0.000503018,-0.000914382,-0.000221437,-0.00159879,-0.00205893,0,0,0,0,0,0,0,1,0.00036392,0.000219414,0,0.000363868,-1,0.000238613,0,0.000219501,-0.000238533,-1,0,0.400073,0.399931,0.499761,1
0.004,0.879771,0.0145643,-0.0951226,-1.87251,0.00111587,1.88701,0.783957,-0.000703283,-0.00170359,-0.000500259,0.00208168,0.00019146,-0.00156858,-0.000999628,0,0,0,0,0,0,0,1,0.000355151,0.000225128,0,0.000355099,-1,0.000231261,0,0.00022521,-0.000231181,-1,0,0.400076,0.399928,0.499766,1
0.005,0.879771,0.0145696,-0.0951173,-1.87251,0.00111688,1.88701,0.783955,-0.000468855,0.000627512,0.00142944,0.0013878,0.000466724,-0.000770029,-0.00103941,0,0,0,0,0,0,0,1,0.000361397,0.000223273,0,0.000361345,-1,0.000232347,0,0.000223357,-0.000232266,-1,0,0.400075,0.399931,0.499765,1
0.006,0.879766,0.0145669,-0.0951201,-1.87252,0.00111587,1.88701,0.783962,-0.00207581,-0.000509679,2.47245e-05,-0.000838031,-2.79349e-05,-0.000586327,0.00154501,0,0,0,0,0,0,0,1,0.000346968,0.00022099,0,0.000346915,-1,0.000235675,0,0.000221071,-0.000235598,-1,0,0.400077,0.399927,0.499763,1
0.007,0.879769,0.0145749,-0.0951254,-1.87251,0.00111688,1.88701,0.783965,0.000379366,0.00235147,-0.00174692,0.000276536,0.000320461,-0.000445615,0.00214899,0,0,0,0,0,0,0,1,0.000341212,0.000218169,0,0.00034116,-1,0.000238316,0,0.00021825,-0.000238241,-1,0,0.400079,0.399928,0.49976,1
0.008,0.879776,0.0145721,-0.0951254,-1.87251,0.00111393,1.88701,0.783965,0.00201615,0.000639628,-0.00116473,0.00111238,-0.000769704,9.59575e-07,0.000313681,0,0,0,0,0,0,0,1,0.000348971,0.000225006,0,0.000348918,-1,0.000235081,0,0.000225088,-0.000235002,-1,0,0.400077,0.39993,0.499764,1
0.009,0.879777,0.0145696,-0.0951226,-1.87252,0.00111587,1.88701,0.78396,0.0013441,-0.0004088,0.000151439,-0.00194967,0.000131124,-0.00036923,-0.00202884,0,0,0,0,0,0,0,1,0.000357254,0.00021897,0,0.000357202,-1,0.000238116,0,0.000219055,-0.000238037,-1,0,0.400074,0.39993,0.499761,1
0.01,0.879774,0.0145669,-0.0951226,-1.87252,0.00111485,1.88701,0.783951,6.0848e-05,-0.00120055,0.000100891,-0.00129978,-0.000251668,-0.000269243,-0.00325143,0,0,0,0,0,0,0,1,0.000363776,0.00021995,0,0.000363724,-1,0.00023813,0,0.000220036,-0.00023805,-1,0,0.400075,0.399929,0.499762,1
0.011,0.879774,0.0145721,-0.0951226,-1.87252,0.00111587,1.88701,0.783954,4.05653e-05,0.000962869,6.72088e-05,6.15046e-05,0.000171306,-0.000569805,-0.00101473,0,0,0,0,0,0,0,1,0.00036101,0.000216582,0,0.000360958,-1,0.000240834,0,0.000216669,-0.000240755,-1,0,0.400075,0.39993,0.49976,1
0.012,0.879774,0.0145721,-0.0951226,-1.87252,0.00111587,1.88701,0.78396,2.70436e-05,0.000641913,4.47672e-05,-0.00172223,0.000114204,-1.98653e-05,0.000442489,0,0,0,0,0,0,0,1,0.000354766,0.000214986,0,0.000354714,-1,0.000242426,0,0.000215072,-0.00024235,-1,0,0.400075,0.39993,0.499758,1
0.013,0.879777,0.0145721,-0.0951226,-1.87252,0.00111688,1.88701,0.783968,0.000853247,0.000427942,2.98158e-05,0.000615083,0.00041522,-0.00076897,0.00253295,0,0,0,0,0,0,0,1,0.000349287,0.000216917,0,0.000349235,-1,0.000239133,0,0.000217,-0.000239058,-1,0,0.400074,0.399931,0.499761,1
0.014,0.879769,0.0145696,-0.0951201,-1.87252,0.00111587,1.88701,0.783968,-0.00202962,-0.000549924,0.000855073,0.000410056,-6.22709e-05,-0.000146959,0.00168863,0,0,0,0,0,0,0,1,0.000343993,0.000220112,0,0.000343941,-1,0.000236924,0,0.000220193,-0.000236848,-1,0,0.400076,0.399929,0.499762,1
0.015,0.879777,0.0145749,-0.0951173,-1.87252,0.00111587,1.887,0.783959,0.00124537,0.00139662,0.00149805,0.000273371,-4.15139e-05,-0.000103452,-0.00185819,0,0,0,0,0,0,0,1,0.000363418,0.000214392,0,0.000363366,-1,0.000243282,0,0.000214481,-0.000243204,-1,0,0.400073,0.399933,0.499759,1
0.016,0.879777,0.0145696,-0.0951173,-1.87251,0.00111393,1.88701,0.78396,0.000830249,-0.000832156,0.000998689,0.00101747,-0.000671936,-0.00044607,-0.000865798,0,0,0,0,0,0,0,1,0.000362867,0.000221636,0,0.000362814,-1,0.00023794,0,0.000221722,-0.000237859,-1,0,0.400072,0.399933,0.499763,1
