time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq_d1,ddq_d2,ddq_d3,ddq_d4,ddq_d5,ddq_d6,ddq_d7,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15,O_T_EE_16,tau_J1,tau_J2,tau_J3,tau_J4,tau_J5,tau_J6,tau_J7,tau_ext1,tau_ext2,tau_ext3,tau_ext4,tau_ext5,tau_ext6,tau_ext7,O_F_ext_x,O_F_ext_y,O_F_ext_z,O_T_ext_x,O_T_ext_y,O_T_ext_z
0,-0.510034,0.455857,-0.0298647,-2.09708,0.0231052,2.55269,-0.555982,0.000580817,0.000365198,-0.000271101,0.000362639,-0.000408657,-0.000509062,-0.00262883,0,0,0,0,0,0,0,1,-8.18653e-05,-0.000114998,0,-8.18313e-05,-1,0.000295697,0,-0.000115022,-0.000295688,-1,0,0.499937,-0.299946,0.199945,1,-0.303348,-34.6494,0.457272,15.5357,0.998546,1.1939,-0.634202,-0.289766,-0.102895,0.34957,0.443806,0.548746,-0.498973,-0.705869,1.1237,-2.72248,0.937845,2.29157,-0.519578,-0.350608
0.001,-0.510036,0.455854,-0.029862,-2.09709,0.0231101,2.5527,-0.55597,-0.000448006,-0.000684347,0.000747289,-0.00152148,0.000371822,0.000406611,0.00238428,0,0,0,0,0,0,0,1,-9.7772e-05,-0.000114519,0,-9.77386e-05,-1,0.000291394,0,-0.000114547,-0.000291383,-1,0,0.499935,-0.299945,0.199944,1,-0.267642,-34.6097,0.417599,15.6111,0.981151,1.17376,-0.745896,-0.292337,-0.104651,0.34726,0.444699,0.54886,-0.498797,-0.705392,1.12134,-2.72513,0.941112,2.29095,-0.521558,-0.353021
0.002,-0.510034,0.455854,-0.0298648,-2.09709,0.023106,2.5527,-0.55598,0.000536547,-0.000456075,-0.000429825,-8.62992e-05,-0.000396379,0.000271074,-0.00254731,0,0,0,0,0,0,0,1,-8.48791e-05,-0.00011439,0,-8.48453e-05,-1,0.000295586,0,-0.000114415,-0.000295576,-1,0,0.499936,-0.299945,0.199945,1,-0.303348,-34.6097,0.457272,15.5714,0.998546,1.17376,-0.634202,-0.294689,-0.106193,0.345094,0.445949,0.548987,-0.498567,-0.704948,1.12073,-2.72841,0.943785,2.29069,-0.522746,-0.355218
0.003,-0.510031,0.455854,-0.0298648,-2.09709,0.0231094,2.5527,-0.555973,0.00128572,-0.000303933,-0.000286548,0.000777685,4.09234e-05,0.000553709,0.00128573,0,0,0,0,0,0,0,1,-9.1602e-05,-0.000110444,0,-9.15693e-05,-1,0.000295782,0,-0.000110471,-0.000295772,-1,0,0.499937,-0.299944,0.199946,1,-0.34302,-34.6097,0.457272,15.5357,0.990306,1.16369,-0.714768,-0.297223,-0.10643,0.342787,0.446519,0.549116,-0.498425,-0.704524,1.1202,-2.73221,0.943944,2.29126,-0.522822,-0.357625
0.004,-0.510036,0.455857,-0.0298599,-2.09708,0.0231112,2.5527,-0.555978,-0.000906093,0.000725485,0.000736989,0.00144648,0.000366366,0.000369139,-0.000634814,0,0,0,0,0,0,0,1,-8.8726e-05,-0.000107026,0,-8.86945e-05,-1,0.000294201,0,-0.000107052,-0.000294191,-1,0,0.499939,-0.299945,0.199946,1,-0.267642,-34.6494,0.417599,15.496,0.981151,1.16369,-0.674485,-0.29992,-0.105793,0.340379,0.445927,0.549226,-0.498426,-0.704105,1.11756,-2.73504,0.942765,2.29194,-0.52282,-0.360158
0.005,-0.510041,0.455854,-0.0298662,-2.09709,0.0231115,2.55269,-0.555972,-0.00153208,-0.000444297,-0.00671937,3.62979e-05,0.000244244,-0.000872885,0.00184865,0,0,0,0,0,0,0,1,-0.000106157,-0.00011241,0,-0.000106124,-1,0.000293902,0,-0.000112441,-0.000293891,-1,0,0.499934,-0.29995,0.199946,1,-0.227969,-34.6097,0.457272,15.5357,0.981151,1.1939,-0.735825,-0.296756,-0.105386,0.342999,0.444801,0.549053,-0.498483,-0.703703,1.11767,-2.72809,0.942236,2.2897,-0.522376,-0.35709
0.006,-0.510037,0.455857,-0.0298598,-2.09709,0.0231106,2.5527,-0.555987,-0.0020826,0.000631871,-0.00275242,-0.00148241,-0.000176255,0.000537054,-0.00290439,0,0,0,0,0,0,0,1,-7.94459e-05,-0.000110453,0,-7.94136e-05,-1,0.00029253,0,-0.000110477,-0.000292521,-1,0,0.499937,-0.299945,0.199945,1,-0.454104,-34.6494,0.22717,15.4603,0.990306,1.16369,-0.624131,-0.28248,-0.106367,0.355108,0.444553,0.548396,-0.498428,-0.703355,1.12725,-2.70505,0.944208,2.28233,-0.520431,-0.343371
0.007,-0.510043,0.455855,-0.0298597,-2.09708,0.0231129,2.5527,-0.555969,-0.00592123,0.000421284,-0.00659628,-0.00102087,-0.000422679,-0.000387949,0.00443852,0,0,0,0,0,0,0,1,-0.000106031,-0.00010574,0,-0.000106,-1,0.000293657,0,-0.000105771,-0.000293646,-1,0,0.499937,-0.299949,0.199948,1,-0.684207,-34.6494,-0.00293279,15.3096,0.998546,1.18383,-0.79625,-0.257624,-0.110098,0.376063,0.446294,0.547313,-0.498121,-0.703058,1.14649,-2.6674,0.951099,2.26944,-0.518137,-0.319649
0.008,-0.510051,0.455857,-0.0298655,-2.09709,0.0231129,2.5527,-0.555987,-0.00974393,0.0011161,-0.00574785,-0.00467126,0.00400162,-0.000258633,-0.0015508,0,0,0,0,0,0,0,1,-0.000101444,-0.000112553,0,-0.000101411,-1,0.000292623,0,-0.000112582,-0.000292612,-1,0,0.499931,-0.299954,0.199945,1,-1.02539,-34.6851,-0.268741,15.1985,1.0077,1.18383,-0.674485,-0.219341,-0.117769,0.408003,0.450652,0.54568,-0.497455,-0.70283,1.17762,-2.61077,0.965121,2.24905,-0.515688,-0.283226
0.009,-0.510058,0.45586,-0.0298687,-2.09708,0.0231094,2.55269,-0.55598,-0.00628629,0.00250733,-0.00355033,-0.00412645,0.00176443,0.00908156,-0.000873256,0,0,0,0,0,0,0,1,-0.00011586,-0.000116652,0,-0.000115825,-1,0.00029407,0,-0.000116686,-0.000294056,-1,0,0.499928,-0.29996,0.199944,1,-1.5213,-34.7604,-0.613895,14.9366,1.04249,1.21313,-0.806321,-0.171762,-0.130976,0.447295,0.458333,0.543697,-0.496356,-0.702705,1.2162,-2.54088,0.989452,2.22188,-0.51584,-0.238165
