time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq_d1,ddq_d2,ddq_d3,ddq_d4,ddq_d5,ddq_d6,ddq_d7,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15,O_T_EE_16,tau_J1,tau_J2,tau_J3,tau_J4,tau_J5,tau_J6,tau_J7,tau_ext1,tau_ext2,tau_ext3,tau_ext4,tau_ext5,tau_ext6,tau_ext7,O_F_ext_x,O_F_ext_y,O_F_ext_z,O_T_ext_x,O_T_ext_y,O_T_ext_z
0,-0.56519,0.455883,0.0243306,-2.09702,-0.0190555,2.55243,-0.526736,0.00119464,0.000744842,0.000542319,-0.000457397,-3.39289e-05,0.000292189,0.00021863,0,0,0,0,0,0,0,1,-0.000760628,-0.00016717,0,-0.000760669,-1,-0.00024419,0,-0.000166985,0.000244317,-1,0,0.499908,-0.299965,0.199893,1,-0.267642,-34.4986,1.02856,15.3492,0.133373,1.49054,-0.55272,-0.250447,-0.126939,0.320168,0.254696,-0.306467,-0.171776,-0.566848,0.189741,-1.58299,0.590684,0.867006,-0.3051,-0.074087
0.001,-0.565189,0.455882,0.0243283,-2.09702,-0.0190554,2.55243,-0.526732,0.000796428,0.000495941,-0.000473672,-0.00113872,-2.27131e-05,-0.000176473,0.00163772,0,0,0,0,0,0,0,1,-0.000766762,-0.000171518,0,-0.000766804,-1,-0.000245593,0,-0.00017133,0.000245724,-1,0,0.499907,-0.299966,0.199892,1,-0.267642,-34.4986,1.06427,15.385,0.133373,1.50061,-0.593003,-0.256767,-0.131015,0.314437,0.258951,-0.306031,-0.171409,-0.566625,0.190151,-1.5953,0.597771,0.868268,-0.307998,-0.080259
0.002,-0.565189,0.455882,0.0243337,-2.09701,-0.0190596,2.55242,-0.526742,0.000530952,0.000330162,0.00144746,0.00100516,-0.000354297,-0.000489346,-0.0033841,0,0,0,0,0,0,0,1,-0.000748129,-0.000168098,0,-0.00074817,-1,-0.00024353,0,-0.000167916,0.000243656,-1,0,0.49991,-0.299964,0.199894,1,-0.267642,-34.4986,0.988889,15.3096,0.142528,1.51068,-0.472153,-0.261874,-0.134894,0.30975,0.262845,-0.305664,-0.171078,-0.566373,0.190934,-1.60535,0.604585,0.868954,-0.310632,-0.0852496
0.003,-0.565184,0.455882,0.0243288,-2.09702,-0.0190617,2.55243,-0.52673,0.00211721,0.000219759,3.69511e-05,0.000670914,-0.000575335,-0.000325259,0.00262675,0,0,0,0,0,0,0,1,-0.000757966,-0.000168933,0,-0.000758006,-1,-0.000240222,0,-0.00016875,0.00024035,-1,0,0.49991,-0.299964,0.199894,1,-0.34302,-34.4986,1.02856,15.3096,0.151683,1.51068,-0.603989,-0.267173,-0.136547,0.304899,0.264971,-0.305333,-0.17095,-0.566094,0.190163,-1.61482,0.607388,0.870532,-0.311857,-0.0904167
0.004,-0.565189,0.455887,0.0243281,-2.09701,-0.01906,2.55243,-0.526727,-0.000351767,0.00190948,2.4634e-05,0.00044788,0.000294572,0.000529874,0.00287014,0,0,0,0,0,0,0,1,-0.000767934,-0.000171842,0,-0.000767976,-1,-0.000242841,0,-0.000171656,0.000242972,-1,0,0.499908,-0.299967,0.199891,1,-0.267642,-34.574,1.02856,15.3096,0.133373,1.49054,-0.634202,-0.271978,-0.13729,0.300512,0.265927,-0.305052,-0.170929,-0.565772,0.187879,-1.62228,0.608684,0.871917,-0.312808,-0.095071
0.005,-0.565192,0.455887,0.0243278,-2.09702,-0.0190579,2.55243,-0.526743,-0.00116253,0.00127279,1.64227e-05,-0.000628981,-0.000142732,0.000353796,-0.00334238,0,0,0,0,0,0,0,1,-0.000756608,-0.000173929,0,-0.00075665,-1,-0.000245306,0,-0.000173743,0.000245437,-1,0,0.499906,-0.299968,0.19989,1,-0.227969,-34.574,1.02856,15.3492,0.142528,1.49054,-0.492295,-0.272617,-0.140104,0.299704,0.267511,-0.304925,-0.170779,-0.565483,0.187286,-1.62265,0.614048,0.87025,-0.315193,-0.0957453
0.006,-0.565192,0.455882,0.0243246,-2.09702,-0.0190591,2.55243,-0.526737,-0.000775021,-0.000914857,-0.00175229,0.000509039,0.000243907,0.000236274,-0.000363287,0,0,0,0,0,0,0,1,-0.000764082,-0.000167258,0,-0.000764122,-1,-0.00023879,0,-0.000167075,0.000238918,-1,0,0.499906,-0.29997,0.199894,1,-0.227969,-34.4986,1.10394,15.3096,0.133373,1.49054,-0.542649,-0.267514,-0.142846,0.303759,0.268992,-0.305024,-0.170621,-0.56528,0.191445,-1.61487,0.619313,0.866393,-0.316257,-0.0909815
0.007,-0.565192,0.455886,0.0243333,-2.09702,-0.0190618,2.55243,-0.526734,-0.000516681,0.000225202,0.00152306,-0.000588406,-0.00051558,-0.000215169,0.000876786,0,0,0,0,0,0,0,1,-0.000757239,-0.000173908,0,-0.000757282,-1,-0.000245568,0,-0.000173722,0.0002457,-1,0,0.499908,-0.299965,0.19989,1,-0.227969,-34.5343,0.988889,15.3492,0.151683,1.50061,-0.572861,-0.25963,-0.142179,0.310135,0.268909,-0.305258,-0.170672,-0.565095,0.199645,-1.60407,0.618,0.863486,-0.313162,-0.0835638
0.008,-0.565195,0.455885,0.0243336,-2.09702,-0.019061,2.55243,-0.526736,-0.00127247,0.000150052,0.00101538,-0.00039208,-4.64859e-06,-0.000143216,-0.000161461,0,0,0,0,0,0,0,1,-0.0007582,-0.000174435,0,-0.000758243,-1,-0.000246458,0,-0.000174248,0.00024659,-1,0,0.499907,-0.299966,0.19989,1,-0.188296,-34.5343,0.988889,15.3492,0.142528,1.50061,-0.55272,-0.253189,-0.139856,0.315202,0.26828,-0.30542,-0.170815,-0.564883,0.208011,-1.59617,0.613438,0.862238,-0.308496,-0.07754
0.009,-0.565192,0.455884,0.0243284,-2.09701,-0.0190601,2.55243,-0.526736,7.97041e-05,9.99726e-05,-0.00108632,0.000666777,0.000335976,-9.53043e-05,-0.000107641,0,0,0,0,0,0,0,1,-0.00076092,-0.000171513,0,-0.000760961,-1,-0.000242608,0,-0.000171329,0.000242738,-1,0,0.499907,-0.299968,0.199892,1,-0.227969,-34.5343,1.06427,15.3096,0.133373,1.50061,-0.55272,-0.248066,-0.137312,0.319038,0.267577,-0.305506,-0.170978,-0.564663,0.215396,-1.5903,0.608447,0.861619,-0.303869,-0.0728165
