time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq_d1,ddq_d2,ddq_d3,ddq_d4,ddq_d5,ddq_d6,ddq_d7,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15,O_T_EE_16,tau_J1,tau_J2,tau_J3,tau_J4,tau_J5,tau_J6,tau_J7,tau_ext1,tau_ext2,tau_ext3,tau_ext4,tau_ext5,tau_ext6,tau_ext7,O_F_ext_x,O_F_ext_y,O_F_ext_z,O_T_ext_x,O_T_ext_y,O_T_ext_z
0,-0.570741,0.455999,0.0298132,-2.09706,-0.0234317,2.55237,-0.523758,0.000160706,-0.000839319,-0.000244015,0.00344779,6.58688e-05,-0.000232612,0.00216031,0,0,0,0,0,0,0,1,-0.000728147,-0.000275242,0,-0.000728227,-1,-0.000290492,0,-0.00027503,0.000290693,-1,0,0.49989,-0.299937,0.199843,1,-0.34302,-34.7247,1.14361,15.5357,0.0015368,1.5299,-0.654343,-0.364199,-0.318461,0.299299,0.467563,-0.441127,-0.153927,-0.604739,0.395326,-1.95194,0.92389,0.817316,-0.358193,-0.126261
0.001,-0.570742,0.456005,0.029816,-2.09706,-0.0234358,2.55237,-0.523765,-0.000822841,0.00120369,0.000765335,0.0035856,-0.000261263,-0.000155075,-0.000831658,0,0,0,0,0,0,0,1,-0.000716343,-0.00027961,0,-0.000716425,-1,-0.00029209,0,-0.000279401,0.00029229,-1,0,0.499891,-0.299936,0.19984,1,-0.303348,-34.8001,1.10394,15.496,0.00977655,1.5299,-0.593003,-0.362974,-0.314263,0.299982,0.463279,-0.441116,-0.154368,-0.604457,0.39102,-1.94645,0.916614,0.817418,-0.355875,-0.125161
0.002,-0.570741,0.456,0.0298188,-2.09706,-0.0234328,2.55237,-0.523769,-0.00055003,-0.000125559,0.00143824,0.00349491,0.000131,0.000269609,-0.00204641,0,0,0,0,0,0,0,1,-0.000711304,-0.000271461,0,-0.000711383,-1,-0.000290458,0,-0.000271254,0.000290651,-1,0,0.499893,-0.299935,0.199844,1,-0.303348,-34.7604,1.06427,15.4603,0.0015368,1.51983,-0.55272,-0.362547,-0.305283,0.299909,0.453806,-0.441201,-0.155368,-0.604248,0.378559,-1.93775,0.901245,0.81878,-0.352081,-0.124804
0.003,-0.57074,0.456002,0.0298132,-2.09706,-0.0234353,2.55237,-0.523762,0.000560232,-8.37057e-05,-0.00089722,0.000768676,8.73335e-05,0.00017974,0.000907589,0,0,0,0,0,0,0,1,-0.000720094,-0.0002794,0,-0.000720176,-1,-0.000290821,0,-0.00027919,0.000291022,-1,0,0.49989,-0.299936,0.199841,1,-0.34302,-34.7604,1.14361,15.5357,0.0015368,1.51983,-0.61406,-0.362996,-0.294819,0.299041,0.442801,-0.441277,-0.156521,-0.60408,0.363197,-1.92916,0.883303,0.820857,-0.347935,-0.125306
0.004,-0.570749,0.456,0.0298132,-2.09706,-0.0234361,2.55237,-0.523765,-0.0023186,-0.000891022,-0.00059815,0.000663929,5.82223e-05,0.000831903,-0.000174835,0,0,0,0,0,0,0,1,-0.000725773,-0.000276135,0,-0.000725852,-1,-0.000288299,0,-0.000275925,0.000288499,-1,0,0.499888,-0.299941,0.199842,1,-0.227969,-34.7247,1.14361,15.5357,0.0015368,1.50061,-0.593003,-0.361604,-0.284711,0.29973,0.432817,-0.441394,-0.157546,-0.603911,0.352004,-1.91946,0.865684,0.822538,-0.342805,-0.124055
0.005,-0.570739,0.455997,0.0298188,-2.09706,-0.0234364,2.55237,-0.523754,0.00198013,-0.00152203,0.00145727,0.000556228,3.88149e-05,0.000181609,0.00327428,0,0,0,0,0,0,0,1,-0.000720347,-0.000273671,0,-0.000720426,-1,-0.000289384,0,-0.000273463,0.000289581,-1,0,0.499893,-0.299933,0.199843,1,-0.378726,-34.6851,1.06427,15.5357,0.0015368,1.51068,-0.684556,-0.359204,-0.274834,0.30125,0.424346,-0.441509,-0.158421,-0.603736,0.346095,-1.91096,0.84796,0.824602,-0.336172,-0.121874
0.006,-0.570736,0.456002,0.029816,-2.09706,-0.0234365,2.55237,-0.523759,0.00224764,0.000748548,4.34915e-05,0.000456025,2.58766e-05,-0.000218011,0.000690886,0,0,0,0,0,0,0,1,-0.00071558,-0.000279743,0,-0.000715661,-1,-0.000291705,0,-0.000279534,0.000291905,-1,0,0.499892,-0.299932,0.19984,1,-0.418399,-34.7604,1.10394,15.5357,0.0015368,1.51983,-0.644272,-0.361943,-0.266037,0.298455,0.417693,-0.441359,-0.159141,-0.603588,0.339337,-1.91206,0.831857,0.829006,-0.330558,-0.124591
0.007,-0.570739,0.456002,0.029816,-2.09706,-0.0234374,2.55237,-0.523762,0.000570057,0.000499032,2.89929e-05,0.000367922,-0.000287925,-0.000891326,0.00046059,0,0,0,0,0,0,0,1,-0.000714411,-0.000280055,0,-0.000714492,-1,-0.000291231,0,-0.000279847,0.000291431,-1,0,0.499891,-0.299934,0.199841,1,-0.378726,-34.7604,1.10394,15.5357,0.00977655,1.53997,-0.644272,-0.368938,-0.261636,0.292205,0.414102,-0.440966,-0.159529,-0.603544,0.33004,-1.92018,0.823884,0.833368,-0.32949,-0.13137
0.008,-0.570741,0.456005,0.029816,-2.09706,-0.0234363,2.55237,-0.523768,-0.000455441,0.00126071,1.93274e-05,0.00122123,-0.000870118,0.000151768,-0.0023378,0,0,0,0,0,0,0,1,-0.000712109,-0.000279033,0,-0.000712191,-1,-0.0002915,0,-0.000278825,0.000291699,-1,0,0.499891,-0.299936,0.19984,1,-0.34302,-34.8001,1.10394,15.496,0.0280871,1.51983,-0.572861,-0.374284,-0.261972,0.287482,0.413183,-0.44059,-0.159586,-0.603654,0.321526,-1.92586,0.824889,0.834787,-0.332424,-0.136586
0.009,-0.570744,0.456003,0.029816,-2.09706,-0.0234332,2.55237,-0.523773,-0.00123184,0.000840472,1.28841e-05,0.00168532,9.80896e-05,0.000813255,-0.00230452,0,0,0,0,0,0,0,1,-0.000712756,-0.000272812,0,-0.000712836,-1,-0.000289737,0,-0.000272606,0.000289931,-1,0,0.499891,-0.299938,0.199842,1,-0.303348,-34.8001,1.10394,15.4603,0.00977655,1.50061,-0.55272,-0.375315,-0.264908,0.286453,0.413303,-0.440361,-0.159494,-0.603883,0.315046,-1.92461,0.830984,0.832987,-0.337185,-0.13773
