time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq_d1,ddq_d2,ddq_d3,ddq_d4,ddq_d5,ddq_d6,ddq_d7,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15,O_T_EE_16,tau_J1,tau_J2,tau_J3,tau_J4,tau_J5,tau_J6,tau_J7,tau_ext1,tau_ext2,tau_ext3,tau_ext4,tau_ext5,tau_ext6,tau_ext7,O_F_ext_x,O_F_ext_y,O_F_ext_z,O_T_ext_x,O_T_ext_y,O_T_ext_z
0,-0.552182,0.45575,0.0115547,-2.09709,-0.00903567,2.55251,-0.533598,-0.000811353,0.000356184,0.000311477,-2.71932e-05,0.00135899,-0.000284049,0.00230139,0,0,0,0,0,0,0,1,-0.000693963,-0.000207188,0,-0.000694004,-1,-0.000200817,0,-0.000207048,0.000200961,-1,0,0.499902,-0.299951,0.199891,1,-0.303348,-34.7247,0.91351,15.496,0.125133,1.51068,-0.694626,-0.335051,-0.249793,0.322193,0.408055,-0.286854,-0.165739,-0.632497,0.334552,-1.95857,0.794213,1.03827,-0.421129,-0.146187
0.001,-0.55218,0.455748,0.0115561,-2.09709,-0.00904179,2.55251,-0.533615,0.000387118,-0.000690564,0.00113567,-2.17202e-05,-7.73537e-05,-0.000189366,-0.00484052,0,0,0,0,0,0,0,1,-0.000668848,-0.000206635,0,-0.000668889,-1,-0.000197197,0,-0.000206503,0.000197335,-1,0,0.499904,-0.299949,0.199893,1,-0.34302,-34.6851,0.873837,15.496,0.151683,1.51068,-0.522507,-0.33115,-0.250544,0.325708,0.407567,-0.286875,-0.165752,-0.632399,0.335111,-1.95099,0.795964,1.03587,-0.421878,-0.142401
0.002,-0.552178,0.455745,0.0115556,-2.09709,-0.00903965,2.55251,-0.533605,0.000258079,-0.00129559,0.000757114,-1.71737e-05,-5.15691e-05,0.000246749,0.000909811,0,0,0,0,0,0,0,1,-0.000679174,-0.00020318,0,-0.000679214,-1,-0.000196242,0,-0.000203046,0.00019638,-1,0,0.499905,-0.299948,0.199894,1,-0.34302,-34.6494,0.873837,15.496,0.151683,1.50061,-0.634202,-0.330609,-0.24866,0.326321,0.405798,-0.286801,-0.165961,-0.632335,0.333616,-1.94888,0.792712,1.03634,-0.420895,-0.141851
0.003,-0.55218,0.455748,0.0115555,-2.09709,-0.00903985,2.55251,-0.533597,0.000172052,-2.85113e-05,0.000504743,-1.34693e-05,-0.000339555,-0.000547578,0.00359048,0,0,0,0,0,0,0,1,-0.000688815,-0.000207294,0,-0.000688856,-1,-0.000198512,0,-0.000207157,0.000198655,-1,0,0.499904,-0.299949,0.199893,1,-0.34302,-34.6851,0.873837,15.496,0.159923,1.51983,-0.714768,-0.33247,-0.244601,0.324825,0.403104,-0.286678,-0.16631,-0.632228,0.331315,-1.9509,0.785258,1.039,-0.418129,-0.143591
0.004,-0.552178,0.455751,0.0115526,-2.09709,-0.00904383,2.55251,-0.533613,0.00094992,0.000909012,-0.000591525,-1.04946e-05,-0.000565454,0.000347025,-0.00286215,0,0,0,0,0,0,0,1,-0.000670022,-0.000209615,0,-0.000670063,-1,-0.000195932,0,-0.000209483,0.000196073,-1,0,0.499903,-0.299949,0.199891,1,-0.378726,-34.7247,0.91351,15.496,0.169078,1.50061,-0.572861,-0.33475,-0.241897,0.32294,0.4011,-0.286549,-0.166571,-0.632101,0.328316,-1.95325,0.780396,1.041,-0.41669,-0.145717
0.005,-0.552183,0.455748,0.0115498,-2.09709,-0.00903968,2.55251,-0.533598,-0.00112996,-0.000322012,-0.00132237,-0.00496394,0.00026729,-0.000141643,0.00297471,0,0,0,0,0,0,0,1,-0.000696002,-0.00020745,0,-0.000696043,-1,-0.000195829,0,-0.000207314,0.000195973,-1,0,0.499901,-0.299954,0.199893,1,-0.303348,-34.6851,0.953183,15.4603,0.151683,1.51068,-0.704697,-0.335008,-0.243373,0.3228,0.401917,-0.286448,-0.166483,-0.632022,0.327907,-1.95337,0.783216,1.04034,-0.418147,-0.145956
0.006,-0.552178,0.455751,0.0115526,-2.09709,-0.00904088,2.55251,-0.533616,0.00100993,0.000713345,4.64401e-05,-0.00555597,-0.000466066,-9.44284e-05,-0.00401865,0,0,0,0,0,0,0,1,-0.000669224,-0.000212779,0,-0.000669267,-1,-0.000199723,0,-0.000212645,0.000199865,-1,0,0.499902,-0.299949,0.19989,1,-0.378726,-34.7247,0.91351,15.5357,0.169078,1.51068,-0.542649,-0.332764,-0.250319,0.324855,0.407563,-0.286321,-0.165824,-0.631998,0.334606,-1.95293,0.795633,1.03707,-0.422127,-0.143822
0.007,-0.55218,0.455751,0.0115526,-2.09708,-0.00904088,2.55251,-0.533602,-0.00016193,0.000475564,3.096e-05,-0.00230332,0.000672633,-6.29522e-05,0.00220371,0,0,0,0,0,0,0,1,-0.000686429,-0.000208791,0,-0.00068647,-1,-0.000197292,0,-0.000208656,0.000197435,-1,0,0.499903,-0.299951,0.199892,1,-0.34302,-34.7247,0.91351,15.4603,0.142528,1.51068,-0.674485,-0.331106,-0.261195,0.326494,0.416635,-0.286068,-0.164763,-0.631999,0.344031,-1.95539,0.815004,1.03284,-0.42867,-0.142278
0.008,-0.55218,0.455748,0.0115579,-2.09709,-0.00903968,2.55251,-0.533603,-0.000107953,0.000317042,0.00178388,-0.0026427,0.000109338,-4.19682e-05,0.00109615,0,0,0,0,0,0,0,1,-0.000681538,-0.000206786,0,-0.00068158,-1,-0.00019957,0,-0.00020665,0.000199711,-1,0,0.499904,-0.299948,0.199892,1,-0.34302,-34.7247,0.838132,15.496,0.151683,1.51068,-0.664414,-0.331426,-0.271727,0.326465,0.425154,-0.285742,-0.163757,-0.631985,0.350686,-1.96,0.833831,1.02936,-0.435728,-0.142601
0.009,-0.552183,0.455755,0.0115526,-2.09708,-0.00904306,2.55251,-0.533604,-0.00183521,0.0019746,-0.000573986,-0.000202511,-0.000232284,-2.79788e-05,0.000357774,0,0,0,0,0,0,0,1,-0.000685534,-0.000209875,0,-0.000685575,-1,-0.000196613,0,-0.000209741,0.000196756,-1,0,0.499903,-0.299953,0.19989,1,-0.267642,-34.8001,0.91351,15.4207,0.159923,1.51068,-0.654343,-0.331548,-0.280419,0.326509,0.431365,-0.285499,-0.162996,-0.63198,0.353656,-1.96204,0.849684,1.02586,-0.442377,-0.142746
