time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq_d1,ddq_d2,ddq_d3,ddq_d4,ddq_d5,ddq_d6,ddq_d7,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15,O_T_EE_16,tau_J1,tau_J2,tau_J3,tau_J4,tau_J5,tau_J6,tau_J7,tau_ext1,tau_ext2,tau_ext3,tau_ext4,tau_ext5,tau_ext6,tau_ext7,O_F_ext_x,O_F_ext_y,O_F_ext_z,O_T_ext_x,O_T_ext_y,O_T_ext_z
0,-0.544368,0.455804,0.00375154,-2.09695,-0.00273486,2.55255,-0.538501,-9.53703e-05,0.000175012,-0.000463089,-0.000359634,1.12872e-05,0.000518016,-0.00161637,0,0,0,0,0,0,0,1,-0.000223406,-0.000100517,0,-0.000223427,-1,-0.0002143,0,-0.000100469,0.000214322,-1,0,0.499905,-0.300037,0.199899,1,0.037839,-34.9905,0.72308,15.2739,0.151683,1.45117,0.10646,0.023721,-0.183229,0.182297,0.0830699,-0.293812,-0.221917,0.0881019,0.408058,0.120325,0.800155,-0.374232,0.123692,0.174715
0.001,-0.544368,0.45581,0.00375202,-2.09695,-0.00273284,2.55255,-0.5385,-6.35802e-05,0.00189336,-0.000299402,-0.000239756,0.000685693,-0.000357437,-0.000698826,0,0,0,0,0,0,0,1,-0.000225864,-0.00010304,0,-0.000225887,-1,-0.000217395,0,-0.000102991,0.000217418,-1,0,0.499905,-0.300037,0.199896,1,0.037839,-35.0659,0.72308,15.2739,0.133373,1.47039,0.0963893,0.0308977,-0.182074,0.188594,0.0812203,-0.294084,-0.222285,0.0877989,0.410597,0.132244,0.798781,-0.376693,0.124976,0.181568
0.002,-0.544373,0.455804,0.00374688,-2.09694,-0.00273386,2.55255,-0.538504,-0.00180562,-0.000490918,-0.00195585,0.0016034,0.000118045,0.000480757,-0.0110369,0,0,0,0,0,0,0,1,-0.000231589,-9.71911e-05,0,-0.00023161,-1,-0.000210567,0,-9.71424e-05,0.000210589,-1,0,0.499903,-0.300043,0.199901,1,0.113217,-34.9905,0.798459,15.1985,0.142528,1.45117,0.126602,0.039939,-0.184134,0.196544,0.0806,-0.294406,-0.222468,0.0874796,0.412469,0.148189,0.803678,-0.381932,0.123149,0.190204
0.003,-0.544368,0.455804,0.00375752,-2.09694,-0.00273579,2.55255,-0.538499,-0.000368532,-0.000319717,0.00222782,0.000233716,-0.000565564,0.000325734,-0.00661687,0,0,0,0,0,0,0,1,-0.000220368,-9.67557e-05,0,-0.000220389,-1,-0.000214509,0,-9.67084e-05,0.00021453,-1,0,0.499908,-0.300035,0.1999,1,0.0775118,-34.9905,0.647702,15.2342,0.159923,1.45117,0.085403,0.0500869,-0.185219,0.205442,0.0789596,-0.294794,-0.222768,0.0872164,0.413995,0.16664,0.806919,-0.387465,0.122017,0.199918
0.004,-0.544368,0.455804,0.00375503,-2.09695,-0.00273386,2.55255,-0.538505,-0.000245688,-0.00113549,0.000653931,-0.000772209,0.000267218,-0.000490999,-0.00689871,0,0,0,0,0,0,0,1,-0.000217796,-0.000100208,0,-0.000217817,-1,-0.000216549,0,-0.000100161,0.000216571,-1,0,0.499906,-0.300035,0.1999,1,0.0775118,-34.9509,0.683408,15.2739,0.142528,1.47039,0.136673,0.0564414,-0.184564,0.211061,0.0766475,-0.295018,-0.223173,0.0870521,0.413524,0.179059,0.806778,-0.39048,0.121948,0.206014
0.005,-0.544367,0.455807,0.00375503,-2.09695,-0.00273386,2.55255,-0.538508,0.000764228,0.000175278,0.000438904,-0.000514806,0.000178145,1.46925e-05,-0.00615956,0,0,0,0,0,0,0,1,-0.000213559,-9.95188e-05,0,-0.00021358,-1,-0.000216163,0,-9.94726e-05,0.000216184,-1,0,0.499907,-0.300035,0.199898,1,0.037839,-34.9905,0.683408,15.2739,0.142528,1.46124,0.166885,0.0580701,-0.184513,0.212604,0.0752983,-0.295007,-0.223471,0.0869921,0.410944,0.183699,0.807524,-0.391648,0.120919,0.207591
0.006,-0.544367,0.455805,0.00375225,-2.09695,-0.00273386,2.55256,-0.538493,0.000509485,-0.000807977,-0.000633204,-0.00117842,0.000118763,0.000757986,0.000445355,0,0,0,0,0,0,0,1,-0.000231334,-9.91765e-05,0,-0.000231355,-1,-0.000214524,0,-9.91269e-05,0.000214547,-1,0,0.499905,-0.300036,0.199898,1,0.037839,-34.9509,0.72308,15.3096,0.142528,1.4411,0.035049,0.0574584,-0.186345,0.212219,0.0753601,-0.29488,-0.223589,0.0870633,0.407405,0.184792,0.811655,-0.392851,0.118113,0.207035
0.007,-0.544368,0.455805,0.00375225,-2.09694,-0.00273579,2.55256,-0.538493,0.000339657,-0.000536259,-0.000420477,0.00181284,-0.000565084,0.000133986,4.85903e-05,0,0,0,0,0,0,0,1,-0.000229954,-9.24884e-05,0,-0.000229973,-1,-0.000209255,0,-9.24403e-05,0.000209276,-1,0,0.499908,-0.300038,0.199901,1,0.037839,-34.9509,0.72308,15.1985,0.159923,1.45117,0.035049,0.056607,-0.18857,0.21163,0.0755356,-0.294771,-0.223684,0.0872607,0.40338,0.185998,0.816557,-0.394436,0.114886,0.206284
0.008,-0.544371,0.455805,0.00375225,-2.09695,-0.00273386,2.55255,-0.538491,-0.000701582,-0.000355711,-0.000279073,-0.000554677,0.000267537,-0.000282428,0.000592144,0,0,0,0,0,0,0,1,-0.000236642,-9.88365e-05,0,-0.000236663,-1,-0.000214316,0,-9.87858e-05,0.000214339,-1,0,0.499904,-0.300038,0.199899,1,0.0775118,-34.9509,0.72308,15.2739,0.142528,1.46124,0.0149074,0.0570372,-0.190165,0.212126,0.0748591,-0.29477,-0.223876,0.0874739,0.398998,0.189965,0.820472,-0.396581,0.112064,0.206773
0.009,-0.544368,0.455805,0.00375225,-2.09694,-0.00273579,2.55255,-0.538489,0.000460299,-0.000235795,-0.000185115,0.00139345,-0.000465902,0.000558631,0.00100107,0,0,0,0,0,0,0,1,-0.000234523,-9.42199e-05,0,-0.000234543,-1,-0.000210289,0,-9.41706e-05,0.000210311,-1,0,0.499907,-0.300038,0.199901,1,0.037839,-34.9509,0.72308,15.1985,0.159923,1.4411,-0.00523422,0.0585485,-0.192325,0.213542,0.0740878,-0.294831,-0.224072,0.08758,0.394068,0.196154,0.825624,-0.399623,0.108489,0.208276
