time,q1,q2,q3,q4,q5,q6,q7,dq1,dq2,dq3,dq4,dq5,dq6,dq7,ddq_d1,ddq_d2,ddq_d3,ddq_d4,ddq_d5,ddq_d6,ddq_d7,O_T_EE_1,O_T_EE_2,O_T_EE_3,O_T_EE_4,O_T_EE_5,O_T_EE_6,O_T_EE_7,O_T_EE_8,O_T_EE_9,O_T_EE_10,O_T_EE_11,O_T_EE_12,O_T_EE_13,O_T_EE_14,O_T_EE_15,O_T_EE_16,tau_J1,tau_J2,tau_J3,tau_J4,tau_J5,tau_J6,tau_J7,tau_ext1,tau_ext2,tau_ext3,tau_ext4,tau_ext5,tau_ext6,tau_ext7,O_F_ext_x,O_F_ext_y,O_F_ext_z,O_T_ext_x,O_T_ext_y,O_T_ext_z
0,-0.509526,0.455974,-0.0305215,-2.09702,0.0237634,2.55289,-0.557278,-0.000375203,-0.00201537,-0.00324813,8.33796e-05,0.00353501,-0.000485406,-0.000944167,0,0,0,0,0,0,0,1,0.000584926,5.09924e-05,0,0.00058491,-1,0.000313798,0,5.1176e-05,-0.000313768,-1,0,0.499913,-0.300043,0.199922,1,0.34332,-34.4986,0.266843,15.4207,1.0251,0.897273,0.400344,0.281098,-0.156769,0.151018,0.340698,0.589965,-0.798586,0.403825,2.52443,-0.270618,1.77755,0.314094,0.533685,0.146524
0.001,-0.509526,0.455982,-0.0305201,-2.09702,0.0237635,2.55289,-0.557276,-0.000250136,0.00125488,-0.00247217,5.55864e-05,0.00266496,0.000422379,-0.000256451,0,0,0,0,0,0,0,1,0.00058497,4.64739e-05,0,0.000584956,-1,0.000310652,0,4.66556e-05,-0.000310625,-1,0,0.499913,-0.300042,0.199918,1,0.34332,-34.6097,0.266843,15.4207,1.0251,0.877132,0.390274,0.28131,-0.158743,0.151068,0.341371,0.58965,-0.798215,0.403427,2.52222,-0.269692,1.78091,0.312676,0.531303,0.146699
0.002,-0.509526,0.455974,-0.0305221,-2.09702,0.0237664,2.55289,-0.557274,0.000761263,-0.00176186,-0.00271339,0.000872276,0.00299121,0.000654577,0.000575019,0,0,0,0,0,0,0,1,0.000579089,5.6836e-05,0,0.000579071,-1,0.000315731,0,5.70188e-05,-0.000315698,-1,0,0.499914,-0.300044,0.199923,1,0.303647,-34.4986,0.302548,15.385,0.998546,0.867061,0.370132,0.284555,-0.163009,0.153697,0.343365,0.589254,-0.797658,0.402988,2.52225,-0.26429,1.78856,0.308916,0.527513,0.149758
0.003,-0.509522,0.455969,-0.0305195,-2.09702,0.0237644,2.55289,-0.557267,0.00134273,-0.00210259,-0.00114626,0.00141674,0.00148938,-0.000309602,0.00265521,0,0,0,0,0,0,0,1,0.000580314,6.13766e-05,0,0.000580294,-1,0.000318175,0,6.15612e-05,-0.000318139,-1,0,0.499917,-0.300041,0.199927,1,0.267942,-34.4589,0.266843,15.3492,1.01686,0.887203,0.308792,0.286401,-0.1647,0.155163,0.344053,0.588915,-0.797267,0.40254,2.52189,-0.261394,1.79128,0.307213,0.525867,0.151475
0.004,-0.509527,0.455969,-0.0305215,-2.09702,0.0237635,2.55289,-0.55728,-0.000868087,-0.00140172,-0.00089358,0.00094449,0.000817806,-0.000206402,-0.00236669,0,0,0,0,0,0,0,1,0.000586804,6.12841e-05,0,0.000586784,-1,0.000319756,0,6.14717e-05,-0.00031972,-1,0,0.499915,-0.300045,0.199927,1,0.34332,-34.4589,0.266843,15.3492,1.0251,0.887203,0.420486,0.285554,-0.161725,0.154361,0.342411,0.588664,-0.797184,0.402056,2.52079,-0.263389,1.78511,0.309287,0.528126,0.150632
0.005,-0.509524,0.455968,-0.0305201,-2.09702,0.0237664,2.55289,-0.557277,0.000349295,-0.000934479,-0.000692777,-0.000205558,0.0016261,0.000235391,-0.000831805,0,0,0,0,0,0,0,1,0.000586341,6.33788e-05,0,0.000586321,-1,0.000318378,0,6.35655e-05,-0.00031834,-1,0,0.499917,-0.300043,0.199927,1,0.303647,-34.4589,0.266843,15.385,0.998546,0.877132,0.400344,0.283757,-0.157841,0.1527,0.34053,0.588476,-0.797135,0.401505,2.51978,-0.267504,1.77711,0.312502,0.53121,0.148817
0.006,-0.509524,0.455971,-0.0305196,-2.09701,0.0237654,2.55289,-0.557272,0.000232864,0.000305036,-0.000534644,0.0016262,0.000818137,0.000529919,0.00134433,0,0,0,0,0,0,0,1,0.000582055,6.69549e-05,0,0.000582033,-1,0.000321032,0,6.71417e-05,-0.000320993,-1,0,0.499919,-0.300043,0.199928,1,0.303647,-34.4986,0.266843,15.3096,1.0077,0.867061,0.349075,0.281133,-0.155932,0.150281,0.33976,0.588367,-0.796938,0.400932,2.5178,-0.272718,1.77282,0.315039,0.532278,0.146191
0.007,-0.509526,0.455971,-0.0305216,-2.09701,0.0237635,2.55289,-0.557275,-0.000772778,0.000203358,-0.000411024,0.00108413,-4.3966e-05,-1.97136e-05,-0.00137564,0,0,0,0,0,0,0,1,0.000582766,6.52479e-05,0,0.000582745,-1,0.000322248,0,6.54357e-05,-0.00032221,-1,0,0.499917,-0.300046,0.199928,1,0.34332,-34.4986,0.266843,15.3096,1.0251,0.877132,0.410415,0.277949,-0.156468,0.14734,0.339812,0.588297,-0.796622,0.400374,2.51331,-0.277472,1.77336,0.316111,0.53046,0.143041
0.008,-0.509523,0.455968,-0.0305248,-2.09702,0.0237635,2.55289,-0.55727,0.000412835,-0.000792447,-0.00115018,-0.00104048,1.18413e-05,-1.31427e-05,0.00172776,0,0,0,0,0,0,0,1,0.000576832,6.25347e-05,0,0.000576812,-1,0.00032216,0,6.27205e-05,-0.000322124,-1,0,0.499916,-0.300045,0.199928,1,0.303647,-34.4589,0.302548,15.385,1.0251,0.877132,0.339004,0.275486,-0.158551,0.144974,0.340622,0.588211,-0.79621,0.399825,2.50888,-0.280882,1.77685,0.316008,0.527292,0.140542
0.009,-0.509518,0.455968,-0.0305176,-2.09701,0.0237644,2.55289,-0.557284,0.00203846,-0.000528297,0.000965742,0.000141563,0.000343934,-8.76202e-06,-0.00335798,0,0,0,0,0,0,0,1,0.000602097,6.65256e-05,0,0.000602076,-1,0.000320261,0,6.67185e-05,-0.000320221,-1,0,0.49992,-0.300039,0.199929,1,0.228269,-34.4589,0.22717,15.3492,1.01686,0.877132,0.460769,0.271223,-0.160783,0.141115,0.342183,0.588242,-0.795726,0.399288,2.50506,-0.288068,1.78039,0.316994,0.524257,0.136365
