21
  [0] -> x: -0.202456, y: -0.133065, z: 0.719536
  [1] -> x: -0.143163, y: -0.0941499, z: 0.684706
  [2] -> x: -0.264562, y: -0.0883638, z: 0.650985
  [3] -> x: -0.0560923, y: -0.123798, z: 0.683416
  [4] -> NaN, NaN, NaN
  [5] -> x: -0.0854557, y: -0.133263, z: 0.729326
  [6] -> NaN, NaN, NaN
  [7] -> NaN, NaN, NaN
  [8] -> NaN, NaN, NaN
  [9] -> x: -0.203862, y: -0.0912569, z: 0.667846
  [10] -> x: -0.232571, y: -0.0237063, z: 0.424068
  [11] -> x: -0.22647, y: 0.00708207, z: 0.428378
  [12] -> x: -0.238672, y: -0.0544947, z: 0.419758
  [13] -> x: -0.240109, y: -0.130298, z: 0.413808
  [14] -> NaN, NaN, NaN
  [15] -> x: -0.259489, y: -0.0552277, z: 0.193149
  [16] -> NaN, NaN, NaN
  [17] -> x: -0.243636, y: -0.0455055, z: 0.172445
  [18] -> NaN, NaN, NaN
  [19] -> x: -0.322527, y: -0.0919366, z: 0.104538
  [20] -> NaN, NaN, NaN
21
  [0] -> x: -0.203545, y: -0.133781, z: 0.7234
  [1] -> x: -0.143714, y: -0.0945125, z: 0.687343
  [2] -> x: -0.265771, y: -0.0887675, z: 0.653959
  [3] -> x: -0.0578881, y: -0.127762, z: 0.705296
  [4] -> NaN, NaN, NaN
  [5] -> x: -0.0925226, y: -0.144284, z: 0.789638
  [6] -> NaN, NaN, NaN
  [7] -> NaN, NaN, NaN
  [8] -> NaN, NaN, NaN
  [9] -> x: -0.204742, y: -0.09164, z: 0.670651
  [10] -> x: -0.233494, y: -0.0238024, z: 0.425749
  [11] -> x: -0.227353, y: 0.00710968, z: 0.430048
  [12] -> x: -0.239634, y: -0.0547145, z: 0.421451
  [13] -> x: -0.246414, y: -0.133719, z: 0.424673
  [14] -> NaN, NaN, NaN
  [15] -> x: -0.268044, y: -0.0570485, z: 0.199517
  [16] -> NaN, NaN, NaN
  [17] -> x: -0.253645, y: -0.047375, z: 0.17953
  [18] -> NaN, NaN, NaN
  [19] -> x: -0.33366, y: -0.0951099, z: 0.108146
  [20] -> NaN, NaN, NaN
21
  [0] -> x: -0.202599, y: -0.133347, z: 0.719637
  [1] -> x: -0.150356, y: -0.0896954, z: 0.684148
  [2] -> x: -0.26416, y: -0.0886081, z: 0.653827
  [3] -> x: -0.0632098, y: -0.124456, z: 0.694872
  [4] -> NaN, NaN, NaN
  [5] -> x: -0.0834776, y: -0.141421, z: 0.742464
  [6] -> NaN, NaN, NaN
  [7] -> NaN, NaN, NaN
  [8] -> NaN, NaN, NaN
  [9] -> x: -0.207258, y: -0.0891517, z: 0.668988
  [10] -> x: -0.23464, y: -0.0216539, z: 0.422599
  [11] -> x: -0.234456, y: 0.0145612, z: 0.425677
  [12] -> x: -0.234823, y: -0.0578689, z: 0.419521
  [13] -> x: -0.248968, y: -0.130581, z: 0.416015
  [14] -> NaN, NaN, NaN
  [15] -> x: -0.273005, y: -0.0512062, z: 0.207258
  [16] -> NaN, NaN, NaN
  [17] -> x: -0.252324, y: -0.0436941, z: 0.186738
  [18] -> x: -0.275751, y: -0.0515808, z: 0.224317
  [19] -> x: -0.336261, y: -0.0875878, z: 0.122125
  [20] -> NaN, NaN, NaN
21
  [0] -> x: -0.202572, y: -0.13333, z: 0.719535
  [1] -> x: -0.150401, y: -0.0896532, z: 0.684092
  [2] -> x: -0.264128, y: -0.088601, z: 0.653784
  [3] -> x: -0.0633712, y: -0.123928, z: 0.692416
  [4] -> NaN, NaN, NaN
  [5] -> x: -0.0806363, y: -0.138707, z: 0.722798
  [6] -> NaN, NaN, NaN
  [7] -> NaN, NaN, NaN
  [8] -> NaN, NaN, NaN
  [9] -> x: -0.207265, y: -0.0891271, z: 0.668938
  [10] -> x: -0.234637, y: -0.021636, z: 0.422553
  [11] -> x: -0.234502, y: 0.0146201, z: 0.425622
  [12] -> x: -0.234771, y: -0.0578922, z: 0.419484
  [13] -> x: -0.248664, y: -0.130205, z: 0.414883
  [14] -> NaN, NaN, NaN
  [15] -> x: -0.272585, y: -0.0507184, z: 0.20718
  [16] -> NaN, NaN, NaN
  [17] -> x: -0.251202, y: -0.043236, z: 0.186534
  [18] -> x: -0.282557, y: -0.0528538, z: 0.229853
  [19] -> x: -0.335459, y: -0.0868591, z: 0.122659
  [20] -> NaN, NaN, NaN
21
  [0] -> x: -0.202576, y: -0.133333, z: 0.719553
  [1] -> x: -0.150376, y: -0.0896716, z: 0.684104
  [2] -> x: -0.264135, y: -0.0886016, z: 0.653784
  [3] -> x: -0.0632283, y: -0.123964, z: 0.692434
  [4] -> NaN, NaN, NaN
  [5] -> x: -0.0805067, y: -0.138102, z: 0.720616
  [6] -> NaN, NaN, NaN
  [7] -> NaN, NaN, NaN
  [8] -> NaN, NaN, NaN
  [9] -> x: -0.207256, y: -0.0891366, z: 0.668944
  [10] -> x: -0.234633, y: -0.0216441, z: 0.422565
  [11] -> x: -0.234475, y: 0.0145913, z: 0.425639
  [12] -> x: -0.23479, y: -0.0578795, z: 0.419492
  [13] -> x: -0.248572, y: -0.130244, z: 0.41498
  [14] -> NaN, NaN, NaN
  [15] -> x: -0.272383, y: -0.0508348, z: 0.206936
  [16] -> NaN, NaN, NaN
  [17] -> x: -0.25108, y: -0.0433063, z: 0.186227
  [18] -> x: -0.277653, y: -0.0519366, z: 0.225864
  [19] -> x: -0.335272, y: -0.0870035, z: 0.122285
  [20] -> NaN, NaN, NaN
21
  [0] -> x: -0.202576, y: -0.133333, z: 0.719554
  [1] -> x: -0.150375, y: -0.089672, z: 0.684104
  [2] -> x: -0.264135, y: -0.0886017, z: 0.653784
  [3] -> x: -0.0632064, y: -0.123985, z: 0.692511
  [4] -> NaN, NaN, NaN
  [5] -> x: -0.0807028, y: -0.138142, z: 0.72158
  [6] -> NaN, NaN, NaN
  [7] -> NaN, NaN, NaN
  [8] -> NaN, NaN, NaN
  [9] -> x: -0.207255, y: -0.0891369, z: 0.668944
  [10] -> x: -0.234633, y: -0.0216443, z: 0.422566
  [11] -> x: -0.234474, y: 0.0145906, z: 0.425639
  [12] -> x: -0.234791, y: -0.0578792, z: 0.419492
  [13] -> x: -0.248571, y: -0.130256, z: 0.415016
  [14] -> NaN, NaN, NaN
  [15] -> x: -0.272372, y: -0.0508631, z: 0.20691
  [16] -> NaN, NaN, NaN
  [17] -> x: -0.251105, y: -0.043334, z: 0.18619
  [18] -> x: -0.275814, y: -0.0515924, z: 0.224367
  [19] -> x: -0.335275, y: -0.0870442, z: 0.122222
  [20] -> NaN, NaN, NaN
21
  [0] -> x: -0.202576, y: -0.133333, z: 0.719554
  [1] -> x: -0.150375, y: -0.089672, z: 0.684104
  [2] -> x: -0.264135, y: -0.0886017, z: 0.653784
  [3] -> x: -0.0632082, y: -0.123986, z: 0.69252
  [4] -> NaN, NaN, NaN
  [5] -> x: -0.0807738, y: -0.138204, z: 0.722056
  [6] -> NaN, NaN, NaN
  [7] -> NaN, NaN, NaN
  [8] -> NaN, NaN, NaN
  [9] -> x: -0.207255, y: -0.0891368, z: 0.668944
  [10] -> x: -0.234633, y: -0.0216443, z: 0.422566
  [11] -> x: -0.234474, y: 0.0145907, z: 0.425639
  [12] -> x: -0.234791, y: -0.0578793, z: 0.419492
  [13] -> x: -0.248573, y: -0.130257, z: 0.415017
  [14] -> NaN, NaN, NaN
  [15] -> x: -0.272377, y: -0.0508629, z: 0.206915
  [16] -> NaN, NaN, NaN
  [17] -> x: -0.251113, y: -0.0433354, z: 0.186196
  [18] -> x: -0.275642, y: -0.0515604, z: 0.224228
  [19] -> x: -0.335281, y: -0.0870446, z: 0.122226
  [20] -> NaN, NaN, NaN
21
  [0] -> x: -0.202576, y: -0.133333, z: 0.719554
  [1] -> x: -0.150375, y: -0.089672, z: 0.684104
  [2] -> x: -0.264135, y: -0.0886017, z: 0.653784
  [3] -> x: -0.0632091, y: -0.123985, z: 0.692518
  [4] -> NaN, NaN, NaN
  [5] -> x: -0.0807792, y: -0.13822, z: 0.722123
  [6] -> NaN, NaN, NaN
  [7] -> NaN, NaN, NaN
  [8] -> NaN, NaN, NaN
  [9] -> x: -0.207255, y: -0.0891368, z: 0.668944
  [10] -> x: -0.234633, y: -0.0216443, z: 0.422566
  [11] -> x: -0.234474, y: 0.0145907, z: 0.425639
  [12] -> x: -0.234791, y: -0.0578793, z: 0.419492
  [13] -> x: -0.248573, y: -0.130256, z: 0.415016
  [14] -> NaN, NaN, NaN
  [15] -> x: -0.272378, y: -0.050862, z: 0.206916
  [16] -> NaN, NaN, NaN
  [17] -> x: -0.251114, y: -0.0433345, z: 0.186198
  [18] -> x: -0.275746, y: -0.0515797, z: 0.224312
  [19] -> x: -0.335282, y: -0.0870433, z: 0.122229
  [20] -> NaN, NaN, NaN
21
  [0] -> x: -0.202781, y: -0.134113, z: 0.719509
  [1] -> x: -0.150144, y: -0.0914199, z: 0.683925
  [2] -> x: -0.264261, y: -0.0882595, z: 0.656157
  [3] -> x: -0.0652508, y: -0.12584, z: 0.686499
  [4] -> NaN, NaN, NaN
  [5] -> x: -0.0827237, y: -0.127947, z: 0.703803
  [6] -> NaN, NaN, NaN
  [7] -> NaN, NaN, NaN
  [8] -> NaN, NaN, NaN
  [9] -> x: -0.207203, y: -0.0898397, z: 0.670041
  [10] -> x: -0.235925, y: -0.0231294, z: 0.423643
  [11] -> x: -0.223436, y: 0.00313614, z: 0.428049
  [12] -> x: -0.248414, y: -0.049395, z: 0.419237
  [13] -> x: -0.241461, y: -0.11329, z: 0.408718
  [14] -> NaN, NaN, NaN
  [15] -> x: -0.260124, y: -0.0616327, z: 0.191154
  [16] -> NaN, NaN, NaN
  [17] -> x: -0.242269, y: -0.0505001, z: 0.170033
  [18] -> x: -0.264447, y: -0.0603723, z: 0.223765
  [19] -> x: -0.324361, y: -0.0935509, z: 0.0983453
  [20] -> NaN, NaN, NaN
21
  [0] -> x: -0.202783, y: -0.134122, z: 0.719508
  [1] -> x: -0.150143, y: -0.0914336, z: 0.683923
  [2] -> x: -0.264262, y: -0.0882563, z: 0.656179
  [3] -> x: -0.065366, y: -0.125945, z: 0.686159
  [4] -> NaN, NaN, NaN
  [5] -> x: -0.0830147, y: -0.126403, z: 0.701042
  [6] -> NaN, NaN, NaN
  [7] -> NaN, NaN, NaN
  [8] -> NaN, NaN, NaN
  [9] -> x: -0.207202, y: -0.0898449, z: 0.670051
  [10] -> x: -0.235937, y: -0.02314, z: 0.423652
  [11] -> x: -0.223349, y: 0.00304521, z: 0.428069
  [12] -> x: -0.248526, y: -0.0493252, z: 0.419235
  [13] -> x: -0.241154, y: -0.112557, z: 0.408446
  [14] -> NaN, NaN, NaN
  [15] -> x: -0.259471, y: -0.0622068, z: 0.190314
  [16] -> NaN, NaN, NaN
  [17] -> x: -0.241658, y: -0.050995, z: 0.168916
  [18] -> x: -0.262696, y: -0.061734, z: 0.223679
  [19] -> x: -0.32375, y: -0.0939148, z: 0.0970096
  [20] -> NaN, NaN, NaN
21
  [0] -> x: -0.202782, y: -0.134118, z: 0.719508
  [1] -> x: -0.150143, y: -0.0914269, z: 0.683924
  [2] -> x: -0.264262, y: -0.0882579, z: 0.656168
  [3] -> x: -0.0653197, y: -0.125903, z: 0.686296
  [4] -> NaN, NaN, NaN
  [5] -> x: -0.0829444, y: -0.126772, z: 0.701699
  [6] -> NaN, NaN, NaN
  [7] -> NaN, NaN, NaN
  [8] -> NaN, NaN, NaN
  [9] -> x: -0.207203, y: -0.0898424, z: 0.670046
  [10] -> x: -0.235931, y: -0.0231348, z: 0.423648
  [11] -> x: -0.223391, y: 0.00308941, z: 0.428059
  [12] -> x: -0.248472, y: -0.0493591, z: 0.419236
  [13] -> x: -0.241284, y: -0.112869, z: 0.408562
  [14] -> NaN, NaN, NaN
  [15] -> x: -0.259737, y: -0.0619728, z: 0.190657
  [16] -> NaN, NaN, NaN
  [17] -> x: -0.24189, y: -0.0508069, z: 0.169341
  [18] -> x: -0.263101, y: -0.0614183, z: 0.223698
  [19] -> x: -0.323997, y: -0.0937682, z: 0.0975479
  [20] -> NaN, NaN, NaN
21
  [0] -> x: -0.202782, y: -0.134118, z: 0.719508
  [1] -> x: -0.150143, y: -0.0914268, z: 0.683924
  [2] -> x: -0.264262, y: -0.0882579, z: 0.656168
  [3] -> x: -0.0653111, y: -0.125895, z: 0.686321
  [4] -> NaN, NaN, NaN
  [5] -> x: -0.0828994, y: -0.12701, z: 0.702123
  [6] -> NaN, NaN, NaN
  [7] -> NaN, NaN, NaN
  [8] -> NaN, NaN, NaN
  [9] -> x: -0.207203, y: -0.0898423, z: 0.670046
  [10] -> x: -0.235931, y: -0.0231347, z: 0.423648
  [11] -> x: -0.223392, y: 0.00309048, z: 0.428059
  [12] -> x: -0.24847, y: -0.0493599, z: 0.419236
  [13] -> x: -0.241303, y: -0.112912, z: 0.408578
  [14] -> NaN, NaN, NaN
  [15] -> x: -0.259784, y: -0.0619318, z: 0.190717
  [16] -> NaN, NaN, NaN
  [17] -> x: -0.241945, y: -0.0507629, z: 0.16944
  [18] -> x: -0.263375, y: -0.0612054, z: 0.223712
  [19] -> x: -0.324042, y: -0.093741, z: 0.0976474
  [20] -> NaN, NaN, NaN
21
  [0] -> x: -0.203017, y: -0.13462, z: 0.719087
  [1] -> x: -0.154338, y: -0.0876202, z: 0.683229
  [2] -> x: -0.263911, y: -0.0883597, z: 0.657043
  [3] -> x: -0.072079, y: -0.120754, z: 0.684577
  [4] -> NaN, NaN, NaN
  [5] -> x: -0.100996, y: -0.10777, z: 0.688716
  [6] -> NaN, NaN, NaN
  [7] -> NaN, NaN, NaN
  [8] -> NaN, NaN, NaN
  [9] -> x: -0.209124, y: -0.0879899, z: 0.670136
  [10] -> x: -0.22337, y: -0.0261832, z: 0.423723
  [11] -> x: -0.221349, y: 0.0108711, z: 0.427961
  [12] -> x: -0.225392, y: -0.0632375, z: 0.419486
  [13] -> x: -0.243626, y: -0.132262, z: 0.416667
  [14] -> NaN, NaN, NaN
  [15] -> x: -0.255893, y: -0.0517814, z: 0.201148
  [16] -> NaN, NaN, NaN
  [17] -> x: -0.240856, y: -0.0423778, z: 0.18355
  [18] -> x: -0.263609, y: -0.0540642, z: 0.237605
  [19] -> x: -0.315216, y: -0.0857685, z: 0.11028
  [20] -> NaN, NaN, NaN
21
  [0] -> x: -0.203019, y: -0.134625, z: 0.719082
  [1] -> x: -0.154371, y: -0.0875902, z: 0.683224
  [2] -> x: -0.263907, y: -0.0883606, z: 0.657052
  [3] -> x: -0.0724679, y: -0.120459, z: 0.684476
  [4] -> NaN, NaN, NaN
  [5] -> x: -0.103799, y: -0.10478, z: 0.686617
  [6] -> NaN, NaN, NaN
  [7] -> NaN, NaN, NaN
  [8] -> NaN, NaN, NaN
  [9] -> x: -0.209139, y: -0.0879754, z: 0.670138
  [10] -> x: -0.223267, y: -0.0262095, z: 0.423724
  [11] -> x: -0.221333, y: 0.0109328, z: 0.42796
  [12] -> x: -0.225202, y: -0.0633518, z: 0.419488
  [13] -> x: -0.243718, y: -0.133024, z: 0.416985
  [14] -> NaN, NaN, NaN
  [15] -> x: -0.255705, y: -0.0512937, z: 0.201648
  [16] -> NaN, NaN, NaN
  [17] -> x: -0.240785, y: -0.0418508, z: 0.184436
  [18] -> x: -0.263629, y: -0.0530061, z: 0.239685
  [19] -> x: -0.314768, y: -0.0853656, z: 0.110917
  [20] -> NaN, NaN, NaN
21
  [0] -> x: -0.203018, y: -0.134623, z: 0.719084
  [1] -> x: -0.154355, y: -0.0876048, z: 0.683226
  [2] -> x: -0.263909, y: -0.0883602, z: 0.657048
  [3] -> x: -0.0723125, y: -0.120577, z: 0.684516
  [4] -> NaN, NaN, NaN
  [5] -> x: -0.103147, y: -0.105469, z: 0.687094
  [6] -> NaN, NaN, NaN
  [7] -> NaN, NaN, NaN
  [8] -> NaN, NaN, NaN
  [9] -> x: -0.209132, y: -0.0879825, z: 0.670137
  [10] -> x: -0.223317, y: -0.0261967, z: 0.423724
  [11] -> x: -0.221341, y: 0.0109028, z: 0.42796
  [12] -> x: -0.225294, y: -0.0632963, z: 0.419487
  [13] -> x: -0.243678, y: -0.132694, z: 0.416848
  [14] -> NaN, NaN, NaN
  [15] -> x: -0.255783, y: -0.0514975, z: 0.201439
  [16] -> NaN, NaN, NaN
  [17] -> x: -0.240812, y: -0.0420574, z: 0.184088
  [18] -> x: -0.263616, y: -0.0532663, z: 0.239186
  [19] -> x: -0.314952, y: -0.0855321, z: 0.110653
  [20] -> NaN, NaN, NaN
21
  [0] -> x: -0.203018, y: -0.134623, z: 0.719084
  [1] -> x: -0.154354, y: -0.0876051, z: 0.683226
  [2] -> x: -0.263909, y: -0.0883602, z: 0.657048
  [3] -> x: -0.0722832, y: -0.120599, z: 0.684523
  [4] -> NaN, NaN, NaN
  [5] -> x: -0.102713, y: -0.105931, z: 0.687415
  [6] -> NaN, NaN, NaN
  [7] -> NaN, NaN, NaN
  [8] -> NaN, NaN, NaN
  [9] -> x: -0.209132, y: -0.0879826, z: 0.670137
  [10] -> x: -0.223318, y: -0.0261964, z: 0.423724
